,Stromverbrauch
2050-12-03 14:00:00,430.38361731663207
2050-12-03 15:00:00,418.1873615603781
2050-12-03 16:00:00,498.275081213123
2050-12-03 17:00:00,584.99734267066
2050-12-03 18:00:00,725.9582417195708
2050-12-03 19:00:00,1835.8762849949317
2050-12-03 20:00:00,929.9802280982866
2050-12-03 21:00:00,460.8624515685537
2050-12-03 22:00:00,343.1213524951405
2050-12-03 23:00:00,281.918695666667
2050-12-04 00:00:00,253.38611533333358
2050-12-04 01:00:00,260.54012583333343
2050-12-04 02:00:00,268.0963631666667
2050-12-04 03:00:00,280.3540146666667
2050-12-04 04:00:00,299.86430100000007
2050-12-04 05:00:00,331.3096058333335
2050-12-04 06:00:00,403.8801813571748
2050-12-04 07:00:00,960.2320729288297
2050-12-04 08:00:00,668.9643104239304
2050-12-04 09:00:00,675.7721854427787
2050-12-04 10:00:00,781.3051137090997
2050-12-04 11:00:00,1245.438681539509
2050-12-04 12:00:00,1445.3526812234227
2050-12-04 13:00:00,709.1761326721639
2050-12-04 14:00:00,424.14578261035814
2050-12-04 15:00:00,417.3178775271141
2050-12-04 16:00:00,482.45542860705723
2050-12-04 17:00:00,626.743024936668
2050-12-04 18:00:00,760.3124591623709
2050-12-04 19:00:00,1698.6359291257156
2050-12-04 20:00:00,848.7048852079122
2050-12-04 21:00:00,567.8000410213532
2050-12-04 22:00:00,334.94989881793134
2050-12-04 23:00:00,280.496233666667
2050-12-05 00:00:00,124.14409133333339
2050-12-05 01:00:00,128.2379121666667
2050-12-05 02:00:00,136.9770611666667
2050-12-05 03:00:00,140.39654033333338
2050-12-05 04:00:00,150.4670686666667
2050-12-05 05:00:00,164.93159200000005
2050-12-05 06:00:00,222.4186202356063
2050-12-05 07:00:00,758.9269887438559
2050-12-05 08:00:00,469.44357797642306
2050-12-05 09:00:00,317.8061368488985
2050-12-05 10:00:00,311.850654588666
2050-12-05 11:00:00,820.72172144311
2050-12-05 12:00:00,595.0735380411267
2050-12-05 13:00:00,211.70175883333337
2050-12-05 14:00:00,201.24571583333335
2050-12-05 15:00:00,214.6558565934994
2050-12-05 16:00:00,258.36098014795397
2050-12-05 17:00:00,267.96921648497755
2050-12-05 18:00:00,296.6006153744032
2050-12-05 19:00:00,801.1481546200379
2050-12-05 20:00:00,419.05876713250586
2050-12-05 21:00:00,223.99041087155797
2050-12-05 22:00:00,165.34359550000013
2050-12-05 23:00:00,139.24333316666676
2050-12-06 00:00:00,131.44253883333337
2050-12-06 01:00:00,130.17107066666668
2050-12-06 02:00:00,133.68989333333334
2050-12-06 03:00:00,144.2248351666667
2050-12-06 04:00:00,145.74175483333337
2050-12-06 05:00:00,163.85394400000007
2050-12-06 06:00:00,238.50813928752285
2050-12-06 07:00:00,792.2886663992484
2050-12-06 08:00:00,445.79092911459765
2050-12-06 09:00:00,284.09773298447084
2050-12-06 10:00:00,275.96608189397426
2050-12-06 11:00:00,664.2902509359461
2050-12-06 12:00:00,521.893338116988
2050-12-06 13:00:00,212.90594816666675
2050-12-06 14:00:00,207.89000500000006
2050-12-06 15:00:00,210.87803231748612
2050-12-06 16:00:00,226.43156547110158
2050-12-06 17:00:00,250.95475247326684
2050-12-06 18:00:00,291.94932295591474
2050-12-06 19:00:00,757.2625278087179
2050-12-06 20:00:00,440.68115062461595
2050-12-06 21:00:00,244.11070099402184
2050-12-06 22:00:00,165.78222133333347
2050-12-06 23:00:00,144.82126966666675
2050-12-07 00:00:00,132.28007200000005
2050-12-07 01:00:00,125.55992733333336
2050-12-07 02:00:00,136.56154050000004
2050-12-07 03:00:00,142.64634250000003
2050-12-07 04:00:00,152.178771
2050-12-07 05:00:00,166.34014500000006
2050-12-07 06:00:00,235.5011046321567
2050-12-07 07:00:00,686.6723262721924
