,0
848,763.1716499999989
849,736.1413399999982
850,696.8411999999985
851,720.6409199999987
852,754.2906799999989
853,737.0905299999993
854,741.1004599999994
855,675.2503299999995
856,591.1001099999999
857,579.40003
858,583.30003
859,579.55
860,587.35
861,550.4
862,538.95
863,572.1
864,528.90003
865,515.2500299999999
866,532.80003
867,531.0
868,519.3
869,511.5
870,521.1
871,505.25005000000004
872,522.85
873,511.3
874,507.15001000000007
875,515.05
876,485.8
877,509.2
878,517.0
879,534.45002
880,506.80007
881,546.05002
882,536.55002
883,540.35002
884,573.2000499999999
885,588.95002
886,600.65002
887,553.65004
888,551.3500799999999
889,545.3501099999999
890,537.6500899999999
891,529.8000899999998
892,526.30004
893,551.85002
894,503.20002
895,479.80002
896,499.15002999999996
897,497.4
898,485.6
899,458.3
900,477.7
901,448.45
902,469.65002999999996
903,469.65002999999996
904,497.25
905,499.2
906,446.25006
907,463.6500499999999
908,473.50003
909,499.0
910,512.65
911,532.25
912,510.8
913,485.25003
914,510.65
915,536.1
916,555.30003
917,525.85005
918,541.2500699999999
919,545.05008
920,541.2500699999999
921,557.15004
922,559.20002
923,571.00002
924,537.7500299999999
925,516.10002
926,537.55002
927,525.85002
928,498.55002
929,485.05002
930,487.00002
931,461.50002
932,479.05002
933,481.05003
934,496.70002
935,492.6500499999999
936,451.7000499999999
937,472.95006999999976
938,482.7500799999998
939,492.6500199999999
940,502.40002
941,513.80005
942,514.20002
943,516.15002
944,539.5000399999999
945,531.5000299999999
946,529.1000899999997
947,503.9000999999997
948,519.5002699999995
949,534.3004899999993
950,528.2507599999988
951,514.4012199999984
952,508.4514699999985
953,506.50199999999825
954,483.4021599999983
955,491.0524099999979
956,498.7528299999977
957,486.583129999998
958,471.89351999999826
959,432.54364999999876
960,520.2937599999967
961,502.744059999997
962,530.2941799999965
963,569.7945199999963
964,537.645029999996
965,545.395129999996
966,530.7755199999955
967,545.9759799999954
968,634.8461699999939
969,645.4962099999939
970,630.8764999999939
971,658.326919999994
972,643.8068599999942
973,617.3068399999946
974,654.6767599999947
975,600.5268199999946
976,606.7168099999949
977,597.0366599999948
978,598.7665599999948
979,595.2465199999953
980,591.446479999995
981,623.2163499999943
982,622.5262799999948
983,551.6863099999958
984,530.0362899999966
985,589.1661299999961
986,600.8362399999959
987,563.076329999996
988,535.7763299999968
989,526.1764299999966
990,540.7962399999959
991,555.4760899999956
992,569.1260899999954
993,560.2061299999957
994,603.4560099999951
995,579.4759199999958
996,594.5157299999954
997,624.3156999999952
998,628.8956499999953
999,642.8755999999948
1000,603.1256599999947
1001,645.9656499999945
1002,615.4055999999949
1003,615.6055099999949
1004,625.4955799999948
1005,639.9156399999941
1006,655.7156399999948
1007,705.1255199999948
1008,757.8654399999964
1009,774.1154099999964
1010,747.7654399999963
1011,744.9354899999963
1012,755.1454299999962
1013,714.6054999999959
1014,703.685429999996
1015,753.0254499999968
1016,726.1555899999958
1017,731.8353899999961
1018,717.6654499999963
1019,754.2852899999971
1020,703.9753099999963
1021,594.1754099999957
1022,634.105269999996
1023,673.735249999996
1024,656.9352999999952
1025,685.5952399999961
1026,651.6652999999959
1027,675.1653999999954
1028,663.8154399999959
1029,627.065499999996
1030,609.495569999996
1031,672.6556199999956
1032,617.8255999999961
1033,646.225529999996
1034,682.3453999999962
1035,699.6954199999954
1036,702.7354199999955
1037,714.8354199999962
1038,683.8354899999961
1039,666.0855299999965
1040,645.1855599999964
1041,652.315459999996
1042,658.6155199999959
1043,642.1855399999962
1044,605.0054899999967
1045,607.5354799999967
1046,673.635379999996
1047,677.7353799999962
1048,630.4853199999965
1049,650.8552499999961
1050,640.2552799999959
1051,596.915299999996
1052,603.7651399999962
1053,598.785199999996
1054,574.6453099999961
1055,557.4854099999964
1056,606.485399999995
1057,597.1253699999954
1058,649.475369999995
1059,568.4355199999956
1060,547.8855499999962
1061,588.785499999996
1062,611.3155599999957
1063,656.8655599999952
1064,733.115679999996
1065,721.2257699999948
1066,713.535889999995
1067,698.495839999995
1068,707.3557499999955
1069,710.3755399999956
1070,660.8553899999956
1071,586.8351799999969
1072,596.6949199999965
1073,546.1245199999969
1074,528.9643399999967
1075,526.1939099999967
1076,565.2337599999963
1077,547.5033499999973
1078,506.5830699999979
1079,485.3327499999982
1080,507.00243999999805
1081,458.222409999998
1082,438.3922699999984
1083,483.54198999999795
1084,486.25174999999814
1085,524.7513099999987
1086,451.35114999999894
1087,457.20093999999904
1088,484.5005899999997
1089,467.45028999999965
1090,472.6101999999999
1091,503.75
1092,474.10002000000003
1093,487.65004
1094,516.90004
1095,546.55002
1096,548.50002
1097,566.2
1098,554.5
1099,536.65003
1100,519.25
1101,523.15
1102,548.4
1103,507.45
1104,466.5
1105,446.55002
1106,458.15002
1107,436.50004
1108,426.90002999999996
1109,430.85004000000004
1110,430.85
1111,401.50002
1112,389.85004000000004
1113,436.85002000000003
1114,458.55002
1115,445.10004000000004
1116,431.75
1117,437.4000399999999
1118,437.55
1119,391.85006999999996
1120,401.60006999999996
1121,413.15006999999997
1122,439.0001899999997
1123,451.0903599999997
1124,481.99066999999945
1125,517.0909099999992
